"","coefs"
"11",0
"126",-2.42720453350432
"148",-0.159087028888223
"224",-4.55570949931752
"364",-6.40054688536091
"1176",-5.53459279334751
"1420",-0.0159539339572348
"1450",-0.337447349584522
"1498",-4.00388940481352
"1684",-1.73678162378948
"1686",-0.202010469479887
"1689",-0.659827213678739
"1694",-0.41586901385574
"1695",-1.62159375355463
"1696",-1.8763060497588
"1706",-7.88423091478188
"1710",-1.52638082478717
"1794",-1.80293811537328
"1798",-5.1714884634894
"1804",-0.917770630164341
"1805",-0.742547815685356
"1807",-0.437083346123501
"1808",-1.58714118788765
"1810",-1.59675440248469
"1812",-1.89891960089798
"1813",-2.01115456696971
"1815",-1.61475637945665
"1818",-2.43984292250011
"1827",-2.06988379767154
"1828",0.0542716323790557
"1829",-0.525189439974952
"1830",-1.66903172575178
"1831",-0.562366344418905
"1833",-1.32473438304834
"1838",0.0635154720199296
"1839",-1.2877271057024
"1843",-0.959302408867927
"1849",-1.69395429950816
"1853",-5.84103847747539
"1856",-8.2973642277627
"1869",-0.420426214522394
"1879",-0.527931276934197
"1891",0.0482395882516187
"1896",-0.818592571197286
"1897",-0.277774569446137
"1898",-0.50649308266685
"1902",-0.523940573855185
"1903",-4.02475515151889
"1909",-1.0859752533699
"1910",-0.771814837747655
"1911",-0.73207417269856
"1913",-2.21868836528549
"1917",-0.973218334741148
"1918",0.152496359722591
"1919",-1.94659356653284
"1931",0.623336816065233
"1932",-2.29967609961869
"1939",-1.07829665836201
"1942",-0.576965100419727
"1949",-1.45692262621694
"1955",-2.86597678185896
"1968",-0.709804442455521
"1969",-2.12834278977931
"1971",-0.1041347950339
"1980",-0.687274339335374
"2004",-0.977042033651344
"2011",-1.06128878033141
"2021",-4.67529713982958
"2031",-1.32891471792033
"2032",-0.140569710212162
"2035",-4.28500451875837
"2044",-1.6392698860719
"2053",-7.95468253690757
"2056",-1.67738577427846
"2069",-1.7218550351088
"2076",-0.506372432953185
"2091",-2.27152864676566
"2108",-0.623556095192725
"2110",-3.1093620112299
"2113",-3.49636929196436
"2120",0.473985006922504
"2121",-0.764751858339025
"2122",-1.3474069799959
"2129",-0.630533358787858
"2149",-2.11098401331913
"2156",-1.72247667121053
"2159",-0.683284927467241
"2166",-2.64973282416676
"2168",-1.0237153038704
"2171",-1.34384315664104
"2182",-1.79275312802631
"2183",-3.11104049751117
"2184",-2.73983189498378
"2185",-1.89611534741479
"2186",-12.8394338159563
"2190",-0.366954023235081
"2191",-1.30280545231525
"2192",-0.454707746339523
"2195",-1.38967106910803
"2196",-1.73343360595049
"2197",-2.68472920509575
"2200",-2.7064248801772
"2202",-2.98368258469762
"2207",-6.09552610784428
"2212",-0.983244988354642
"2213",-1.1188258032339
"2214",-1.03241532504239
"2215",-1.35971322395335
"2216",-1.35248729382167
"2218",-0.779363538843114
"2219",-1.07509476326914
"2220",-0.153489952509034
"2221",-2.18434104704198
"2222",-0.986070378322012
"2225",-1.30841742248438
"2228",-6.56457245421717
"2231",-1.71814437955101
"2232",-1.88830965924157
"2234",-2.22993210529461
"2235",-0.989950151475512
"2237",-1.01650536607443
"2240",-1.06380914617361
"2241",-0.591696352739348
"2242",-0.39477812130076
"2244",-1.08173981331373
"2246",-2.60578874767262
"2247",-2.78632978049714
"2248",-2.09623102646808
"2249",-1.59955350607569
"2252",-3.06339942376152
"2254",-0.21185972614029
"2255",-0.713628311035961
"2256",-1.70440463304053
"2262",-1.60266979935929
"2265",-0.852750072521445
"2267",-2.88634950542877
"2271",1.09158074364007
"2272",-0.214754515728174
"2273",-1.71003700157982
"2274",-0.169515597291564
"2275",-2.92743432677261
"2276",-0.612914578132006
"2278",-2.5454654438854
"2281",-5.20739594258558
"2283",-4.34322848341512
"2288",-0.579862531880849
"2290",-0.593193442103683
"2291",-1.28621288700953
"2299",-4.35361646436294
"2301",-1.36560270921592
"2302",-4.12854708621751
"2304",-2.45913514994376
"2306",-1.1782696758934
"2307",-0.273551279737859
"2309",-1.05287378623609
"2310",-2.44799581005256
"2312",-8.07479672894743
"2314",-1.11869720990632
"2317",-2.96298489799776
"2325",-5.23665866847998
"2331",-1.02797257963849
"2335",-1.48925716983487
"2336",-2.79644160577121
"2338",-1.06888936897874
"2339",-3.82394307494374
"2343",-2.87508068286027
"2345",-4.82258473075618
"2347",-3.0964538422449
"2348",-7.04850017088052
"2351",-2.07988568798575
"2352",-0.574841294029341
"2353",-1.64585128364106
"2354",-2.90677906195964
"2362",-4.10990688475042
"2373",-1.98097737774177
"2374",0.630069168550591
"2375",-1.1056311733584
"2377",-1.58033028748028
"2384",-1.83747502691676
"2395",-6.90092647165559
"2396",-0.322844435965607
"2397",-4.60931471287356
"2400",-1.26546762886016
"2401",-2.0073997560028
"2402",-2.08698390530088
"2407",-9.97939678803738
"2413",-0.956570180976968
"2415",-1.94240487179147
"2421",-1.6210455800572
"2424",-1.38395701195441
"2426",-0.725381256084546
"2429",-1.75170419339196
"2430",-1.24995448505939
"2434",-4.20665161541351
"2437",-3.70237377217572
"2438",-1.53908217619036
"2439",-1.3048526742451
"2445",-6.24066586227511
"2448",-1.12416102020555
"2449",-3.33543073117073
"2450",-2.5508521403894
"2453",-2.94831763597847
"2466",-5.12491987982537
"2467",-4.56315283580111
"2468",-2.77666417395113
"2471",-3.74769931196533
"2474",-3.16535044907889
"2475",-5.17003710254122
"2476",-2.34000377500465
"2478",-4.0209802436199
"2481",-1.46084736465511
"2484",-3.87536963769591
"2491",-1.67398844213858
"2500",-3.56697274752577
"2501",-0.303401064092327
"2502",-2.03610130004483
"2505",-4.64078156925891
"2507",-5.59906102983498
"2510",-6.37825985470306
"2511",-4.524328757544
"2514",-1.60187573341739
"2516",-0.0249751894915278
"2518",-1.66189538244774
"2520",-1.26029301302648
"2521",-6.61334429621249
"2523",-1.21800499038662
"2524",-1.58656292214567
"2527",-0.810271328744989
"2532",-1.84855264789621
"2534",-3.81423555912633
"2537",-1.7029794167826
"2538",-1.97484823709596
"2540",-0.970361614276044
"2541",-1.0814470515505
"2542",0.280531594703376
"2546",-2.72335533860419
"2547",-1.94081631510522
"2548",0.311272822962678
"2555",-3.17998357775463
"2556",-0.933763278094574
"2558",-0.563803074750211
"2559",-0.586208803183865
"2560",-5.3428865327727
"2563",-1.53352545029483
"2564",-4.9176830450034
"2565",-1.16630826896326
"2576",-2.97420966162787
"2577",-1.08904456261573
"2578",-5.59234093995175
"2582",-3.48088446318891
"2595",-4.00317899263993
"2596",-4.98672534479815
"2604",-4.11407540643404
"2605",-2.80085244591746
"2611",-1.97156504551458
"2612",-2.08328555669746
"2618",-2.41170844883763
"2625",-1.43243327089897
"2626",-1.05271032185752
"2649",-1.8784493809695
"2650",-1.34280777781649
"2651",-1.10227644954014
"2652",-1.95391229208408
"2654",-1.10283218544828
"2657",-0.341934390701255
"2658",0.198668709650974
"2659",-2.62990308293354
"2660",-1.14994929197971
"2661",-2.81623248874715
"2662",-5.33951713779183
"2664",-2.94951952811093
"2665",-2.8084033342067
"2667",-1.23078881187328
"2668",-0.849981921362456
"2669",-1.36862779383296
"2670",-0.867733088061954
"2671",-0.817453737808648
"2673",-1.98076762945689
"2674",-3.03419265064969
"2675",-0.615425584878636
"2676",-2.67111408194086
"2677",-12.2442586246586
"2678",-1.50454749641833
"2679",-0.827345725472014
"2680",-2.546364252372
"2681",-1.01836666448199
"2682",-1.42444982520104
"2683",-1.46512770323309
"2684",-1.26652689262849
"2686",-1.49691968696897
"2687",-1.92317456385501
"2688",-3.39110948936332
"2694",-0.945490595688256
"2695",-1.69888473157462
"2696",-0.258563216332504
"2697",-3.14856187046334
"2698",-1.46191127542835
"2700",0.0383457946164469
"2702",-3.70879438023212
"2703",-1.68916205239265
"2704",-0.716863289464584
"2706",-3.81113912271513
"2707",-4.91235525112415
"2710",-4.72205147900476
"2711",-1.38320058081152
"2713",-0.840064348212849
"2714",-1.49235863047284
"2717",-1.70362780607374
"2718",-2.56107728640441
"2719",-4.55666857495456
"2720",-0.51279579872741
"2722",-0.995689749045056
"2725",-0.69961621065292
"2727",-9.45063177527305
"2729",-1.02875564115479
"2730",-5.38238983605638
"2733",-3.14347553882547
"2734",-4.25355735681279
"2735",-0.899814903323602
"2736",-0.705817420549664
"2737",-1.920329646087
"2738",-0.41912464516318
"2739",-0.741115709704673
"2741",-1.13265767134797
"2744",-3.58054259048546
"2747",-3.52868183439043
"2753",-6.30408503546124
"2754",0.449318983118474
"2755",-1.413276861757
"2756",-0.907743360075642
"2757",-6.21027898975618
"2759",-1.79698287652855
"2760",-0.739451285321081
"2762",-4.1981159353802
"2763",-0.752693917761491
"2765",-0.966013976851514
"2767",-0.780780217999961
"2768",-1.9112645184909
"2769",-5.16129551734238
"2771",-1.3387616259991
"2773",-0.721819164781493
