id,name,year
0,Luke Harris,Skipper,27
1,Ava Bergan,Skipper,27
2,Davis Winsor,Crew,24
3,Cara Loo,Crew,24
4,Robert Bloomfield,Skipper,26
5,Samuel Groom,Crew,24
6,Jan Matteo Bassi,Skipper,27
7,Jack Blackman,Crew,24
8,Jack Phibbs,Skipper,27
9,Annika Burns,Crew,27
10,Aidan Boylan,Skipper,24
11,Noah Lovelace,Crew,25
12,Camden Wacha,Skipper,27
13,Colin Wood,Crew,27
14,lucas kaemmerer,Skipper,26
15,Alexis Kovacevic,Crew,27
16,Ethan Lisle,Skipper,25
17,Nate Ingebritson,Skipper,25
18,William Bailly,Skipper,26
19,Kyla Coubrough,Crew,24
20,Annika Altman,Skipper,26
21,Phoebe Liermann,Skipper,27
22,Madalyn Gordon,Crew,25
23,Hazel Ross,Crew,27
24,Hudson Mayfield,Skipper,27
25,Breeze Pickford,Crew,26
26,Edward Ansart,Crew,24
27,Genaro Flores - Machorro,Crew,25
28,Morgana Manti,Skipper,26
29,Ariana Gabier,Crew,24
30,Florence Duff,Skipper,25
31,Claire Wiley,Crew,27
32,Sean Kenealy,Skipper,25
33,Maxwell Kandas,Crew,27
34,Emerson Marquez,Skipper,27
35,Aliyah Al-Khafaji,Crew,27
36,Nathan Briar,Skipper,26
37,Tyler Stump,Crew,26
38,Alexander Ng,Skipper,26
39,Ryan Carpenter,Crew,25
40,Matthew Prendiville,Skipper,25
41,Gavin Hirz,Skipper,26
42,Daniel Gates,Skipper,26
43,Leah Oleksik,Crew,26
44,Philip Yang,Skipper,26
45,Aaron Helfgott,Crew,23
46,Paulina Williams,Skipper,26
47,Austin Hargus,Crew,27
48,Cole Schweda,Skipper,27
49,Kayla Putzke,Crew,24
50,Owen Bannasch,Skipper,26
51,Ella Wisely,Crew,27
52,Andreas Keswater,Skipper,24
53,Melissa Janes,Crew,26
54,KA Hamner,Skipper,26
55,Jackson McGeough,Skipper,25
56,Adam Larson,Skipper,24
57,Sean Harris,Skipper,25
58,Julia Scott,Crew,27
59,Jane McKenzie,Crew,27
60,Kenneth Buck,Skipper,26
61,Preston Cyr,Crew,27
62,Carter Morin,Skipper,25
63,Tess Levanway,Crew,26
64,Ian Hoogenboom,Skipper,25
65,Jack Wigmore,Crew,27
66,Marco Distel,Skipper,24
67,Jay Teters,Crew,27
68,Niah Ford,Skipper,26
69,Matthew Aguilera,Crew,26
70,Timothy Dolan,Skipper,25
71,Conner Hedge,Crew,26
72,Jordan Byrd,Skipper,24
73,Dana Aljasir,Crew,27
74,Hank Seum,Skipper,27
75,Lauren Turner,Crew,26
76,Lily Schwartz,Crew,25
77,Eloise Weiss,Crew,27
78,Isabella du Plessis,Skipper,24
79,Olivia Sowa,Crew,24
80,Hilton Kamps,Skipper,25
81,Harriss Thorne,Crew,27
82,Patrick Igoe,Skipper,26
83,Madison Mihan,Crew,27
84,Zi Burns,Skipper,25
85,Maggie Burnham,Crew,26
86,Natalie Aramendia,Skipper,25
87,William Robertson,Crew,25
88,Patrick Parker,Skipper,25
89,Gordon Leadbetter,Crew,24
