id,name,position,year,Estimate,Std. Error,z value,Pr(>|z|)
6536,Griffin Beaulieu,Skipper,27,3.50284866925853,1.02441968585442,3.41934923511058,0.0006277110645514
6062,Dillon Garcia,Skipper,27,3.4399129228219,1.03111860612546,3.33609819703258,0.0008496314740005
3751,Shawn Harvey,Skipper,22,3.37781901773313,0.697956431342548,4.83958434373297,1.30110964527293e-06
5149,Lachlain McGranahan,Skipper,24,3.10146571234544,0.688895761935736,4.50208272965796,6.72907770306873e-06
3826,Jack Parkin,Skipper,21,3.05598394994664,0.701268746070573,4.35779288193045,1.31380622975337e-05
5631,Justin Callahan,Skipper,26,3.02121503054461,0.689255794669426,4.38330015345554,1.16894881566058e-05
4058,Jack Reiter,Skipper,22,3.01898911378911,0.695767969491362,4.33907458544854,1.43083959222341e-05
5708,Vanessa Lahrkamp,Skipper,26,2.95663552451594,0.690205743082042,4.28370171380115,1.83809301123265e-05
5139,Jack Egan,Skipper,25,2.91539698391447,0.689022677158559,4.2312061424991,2.3244152116556e-05
4593,Robert Bragg,Skipper,23,2.88695982982444,0.689439557062139,4.18740091172958,2.82167144690799e-05
5546,Liam O'Keefe,Skipper,26,2.85658454654624,0.691023289573355,4.13384699133647,3.56741023678803e-05
4977,Keiran James Golden,Skipper,24,2.84884391082456,0.818586695753723,3.48019815812112,0.0005010430487005
4141,Leo Boucher,Skipper,22,2.83251133665201,0.693783852645192,4.08270000210078,4.45154725586677e-05
5338,Joseph Hou,Skipper,22,2.82776643411303,0.724351224292477,3.90386091619449,9.46701988410436e-05
3645,Spencer Cartwright,Skipper,22,2.81479125899256,0.698287978912807,4.03098913914431,5.55426105169266e-05
5100,Mia Nicolosi,Skipper,25,2.81053501766486,0.689493941174215,4.07622873796177,4.57719949781372e-05
4683,Teddy Nicolosi,Skipper,24,2.79361539751222,0.689939787561196,4.04907130720365,5.14212768677489e-05
5548,Stephan Baker,Skipper,26,2.79228136351393,0.690824644246491,4.041953897808,5.30076558693927e-05
4247,Wiley Rogers,Skipper,22,2.7635147470983,0.705838046724677,3.91522497253007,9.03199493714016e-05
4162,Cameron Feves,Skipper,22,2.75396953808656,0.700827964244613,3.92959424936036,8.50893206933794e-05
5106,Carmen Cowles,Skipper,25,2.73928186683577,0.687956432591691,3.98176648558437,6.84049689044386e-05
6149,Thomas Sitzmann,Skipper,27,2.72888457917622,0.699041576573898,3.90375146575812,9.47130436441217e-05
4594,Connor Nelson,Skipper,24,2.72473982473552,0.688622877843086,3.95679538453615,7.59619431194752e-05
4112,Jack Murphy,Skipper,22,2.71594363583995,0.697341666661764,3.89471010507863,9.8316241078697e-05
5077,Colman Schofield,Skipper,25,2.70239914378707,0.688324967379298,3.92605131566865,8.63517408997261e-05
4840,CJ Mckenna,Skipper,22,2.68462804929188,0.73664076608686,3.64441960435207,0.0002679958892879
5661,Guthrie Braun,Skipper,26,2.67926690029245,0.69460085018693,3.85727558434662,0.000114657866699
4844,Cameron Giblin,Skipper,23,2.64514450429124,0.692863742156431,3.8176979734264,0.0001347026862647
4810,Michelle Lahrkamp,Skipper,23,2.64222252601659,0.690443134852749,3.82685031198129,0.0001297933878515
5014,Christofor Tella,Skipper,25,2.63931114123031,1.08101071733301,2.44152171566054,0.0146255086953559
4822,Michael Ehnot,Skipper,22,2.63675992861657,0.710662622117125,3.71028367970364,0.0002070271322105
5079,Emma Cowles,Skipper,25,2.63086687727751,0.688615369150783,3.82051722214966,0.0001331721052017
5078,Maddie Hawkins,Skipper,24,2.62267534853419,0.688851502613898,3.80731600146367,0.000140483189737
5632,Carlos de Castro,Skipper,26,2.61388766796081,0.689880421740745,3.78889962026361,0.000151316034747
4952,Hannah Freeman,Skipper,24,2.61349835761249,0.694521324571497,3.76302104075056,0.0001678730717581
4974,Mariner Fagan,Skipper,24,2.59743412092167,0.689506828185355,3.7670897730739,0.0001651616221884
4161,Robert Hunter,Skipper,22,2.5900932571601,0.707292269179676,3.66198440167332,0.0002502691013971
5216,Sophia Reineke,Skipper,22,2.56121410312669,0.696552741931805,3.67698517132166,0.0002360067541471
4210,Jack DeNatale,Skipper,22,2.55903930009448,0.697251951020983,3.67017875869302,0.0002423809058775
4217,Ciara Rodriguez-Horan,Skipper,22,2.54343137662242,0.692583423939431,3.67238268879628,0.000240299470892
6156,Reade Decker,Skipper,27,2.52733620478215,0.699960221543253,3.61068547468304,0.0003053888222528
4841,Matthew Priebe,Skipper,22,2.51963735444277,0.776885594125174,3.24325405631965,0.0011817278633829
3693,Henry Burnes,Skipper,22,2.51200633028182,0.709457969280811,3.54074016932713,0.0003990063048565
4951,Daniel Unangst,Skipper,24,2.50504334566807,0.689851689292266,3.63127812042911,0.0002820210613885
5122,Kerem Erkmen,Skipper,25,2.49447751631074,0.687395633318396,3.62888181914784,0.0002846515062012
5600,Ben Mueller,Skipper,26,2.49440536965197,0.688959785789973,3.62053841327161,0.0002939905972757
5068,Jordan Bruce,Skipper,24,2.4835262273482,0.689945996065825,3.59959510093491,0.0003187130586578
4613,Scott Mais,Skipper,23,2.48345019072584,0.694527077623714,3.57574279065235,0.0003492348887024
4944,Aidan Hoogland,Skipper,24,2.47922217722221,0.690079813144318,3.59266005177827,0.0003273194852886
5658,Peter Busch,Skipper,26,2.46831966617958,0.692349484247911,3.56513541547717,0.0003636683734724
6620,Christian Ebbin,Skipper,28,2.4526074485144,0.733964230209449,3.34158988621898,0.0008330004011599
4142,Cameron Wood,Skipper,22,2.45235821320584,0.693289943521102,3.53727648312729,0.0004042762139802
3876,Stephanie Houck,Skipper,21,2.45078578066725,0.718167824180684,3.412553024724,0.0006435740519355
5254,Bridget Green,Skipper,25,2.44420264331779,0.688256008621605,3.55129866314263,0.0003833351543355
4099,Thomas Whittemore,Skipper,23,2.41836142132046,0.692185261097586,3.49380658219406,0.0004761858776572
6007,Blake Behrens,Skipper,27,2.41517608399089,0.694751091456611,3.47631851707818,0.000508348150566
4599,Nathan Olmsted,Skipper,23,2.41395045779128,0.736676689041261,3.27681124392967,0.0010498652946828
5150,Thomas Hall,Skipper,25,2.41001429930972,0.688681006270957,3.49946386986824,0.0004661947794921
5668,Hayden Earl,Skipper,25,2.40953573672675,0.702124385632504,3.43177902097238,0.0005996359408114
5110,Owen Hennessey,Skipper,25,2.40679389537584,0.688242983151881,3.49701189012298,0.0004705008611671
4961,Colleen O'Brien,Skipper,24,2.40471039385887,0.687941344740895,3.4955166050742,0.0004731450120439
4136,Olivia Belda,Skipper,22,2.40251957571089,0.700314154677881,3.43063118125316,0.0006021787309695
5547,Mitchell Callahan,Skipper,26,2.39545699389047,0.690938841933973,3.46695951726416,0.0005263811603804
6604,Charles Gish,Skipper,28,2.39526743434872,0.792296431033176,3.02319604194761,0.0025012015412298
5541,Kyle Pfrang,Skipper,26,2.39443190632851,0.690248413060617,3.46894228370828,0.0005225116922173
3697,Eli Burnes,Skipper,22,2.38893096027634,0.742884450717431,3.21575038751889,0.0013010394224822
4601,Ben Rosenberg,Skipper,23,2.38765746360192,0.701613765893767,3.40309380982618,0.0006662740005397
4994,William Michels,Skipper,25,2.38633421661958,0.689619956211984,3.46036131223273,0.0005394510330783
3644,Alden Grimes,Skipper,21,2.37163325713469,0.716084190528152,3.3119475174916,0.0009264892511659
4575,Thomas McCann,Skipper,22,2.36525738180937,0.821733961888683,2.87837364829492,0.003997313728746
