venue,other
Southern Cal,Fun
Hawaii,Fun
UC San Diego,Fun
Eckerd,Fun
UNC Wilmington,Fun
Cal Poly,Fun
Tufts,Fun
Charleston,Fun
St. Mary's,Fun
Mass Maritime,Fun
Navy,Fun
Rollins,Fun
Notre Dame,Fun
Roger Williams,Fun
Old Dominion,Fun
Hobart & William,Fun
Boston University,Fun
Grand Valley State,Fun
Princeton,Fun
Coast Guard,Fun
Salve Regina,Fun
Michigan,Fun
Connecticut College,Fun
Ohio State,Fun
Ocean County,Fun
Oregon,Fun
UC Irvine,Fun
UC Santa Barbara,Fun
NY Maritime,Fun
Hampton,Fun
New Hampshire,Fun
Wisconsin,Fun
Kings Point,Fun
Stony Brook,Fun
Bowdoin,Fun
Cornell,Fun
Northeastern,Fun
Brown,Fun
Harvard,Fun
MIT,Fun
North Carolina State,Fun
Western Washington,Fun
Middlebury,Fun
Portland State,Fun
Tulane,Fun
Harvard/MIT,Fun
Citadel,Fun
Yale,Fun
Drexel,Fun
Pennsylvania,Fun
South Florida,Fun
Monmouth,Fun
Rhode Island,Fun
Dartmouth,Fun
Delaware,Fun
Rochester,Fun
Embry-Riddle,Fun
Georgia Tech,Fun
Clemson,Fun
Marquette,Fun
Jacksonville,Fun
Northwestern,Fun
Georgetown,Fun
Hope,Fun
Washington College,Fun
Washington,Fun
Boston College,Fun
Texas A&M,Fun
Christopher Newport,Fun
Michigan State,Fun
UC Santa Cruz,Fun
Chicago,Fun
