School Name,Image Token,Roster Link,School Token
American University,AU-40.png,https://scores.collegesailing.org/schools/american/,american
Catholic University of America,CUOA-40.png,https://scores.collegesailing.org/schools/catholic-america/,catholic-america
Christopher Newport University,CNU-40.png,https://scores.collegesailing.org/schools/christopher-newport/,christopher-newport
Colgate University,CLG-40.png,https://scores.collegesailing.org/schools/colgate/,colgate
Columbia University,COL-40.png,https://scores.collegesailing.org/schools/columbia/,columbia
Cornell University,COR-40.png,https://scores.collegesailing.org/schools/cornell/,cornell
Drexel University,DRX-40.png,https://scores.collegesailing.org/schools/drexel/,drexel
Fordham University,FRD-40.png,https://scores.collegesailing.org/schools/fordham/,fordham
George Washington University,GWU-40.png,https://scores.collegesailing.org/schools/george-washington/,george-washington
Georgetown University,GTN-40.png,https://scores.collegesailing.org/schools/georgetown/,georgetown
Hamilton College,HMT-40.png,https://scores.collegesailing.org/schools/hamilton/,hamilton
Hampton University,HU-40.png,https://scores.collegesailing.org/schools/hampton/,hampton
Hobart and William Smith Colleges,HWS-40.png,https://scores.collegesailing.org/schools/hobart-william-sm/,hobart-william-sm
Indiana University of Pennsylvania,IUP-40.png,https://scores.collegesailing.org/schools/indiana-pennsylvan/,indiana-pennsylvan
Mercyhurst University,MU-40.png,https://scores.collegesailing.org/schools/mercyhurst-university/,mercyhurst-university
Monmouth University,MON-40.png,https://scores.collegesailing.org/schools/monmouth/,monmouth
Ocean County College,OCN-40.png,https://scores.collegesailing.org/schools/ocean-county/,ocean-county
Old Dominion University,ODU-40.png,https://scores.collegesailing.org/schools/old-dominion/,old-dominion
Penn State Behrend,PSB-40.png,https://scores.collegesailing.org/schools/penn-state-behrend/,penn-state-behrend
Penn State University,PSU-40.png,https://scores.collegesailing.org/schools/penn-state/,penn-state
Princeton University,PRN-40.png,https://scores.collegesailing.org/schools/princeton/,princeton
Queen's University,QU-40.png,https://scores.collegesailing.org/schools/queen/,queen
Rochester Institute of Technology,RIT-40.png,https://scores.collegesailing.org/schools/rochester/,rochester
Rutgers University,RUT-40.png,https://scores.collegesailing.org/schools/rutgers/,rutgers
St. John's College,SJC-40.png,https://scores.collegesailing.org/schools/st-john/,st-john
St. Mary's College of Maryland,SMC-40.png,https://scores.collegesailing.org/schools/st-mary/,st-mary
Stevens Institute of Technology,STV-40.png,https://scores.collegesailing.org/schools/stevens/,stevens
SUNY Maritime College,NYM-40.png,https://scores.collegesailing.org/schools/ny-maritime/,ny-maritime
SUNY Stony Brook,SBU-40.png,https://scores.collegesailing.org/schools/stony-brook/,stony-brook
Syracuse University,SYR-40.png,https://scores.collegesailing.org/schools/syracuse/,syracuse
U. S. Merchant Marine Academy,KP-40.png,https://scores.collegesailing.org/schools/kings-point/,kings-point
U. S. Military Academy,AR-40.png,https://scores.collegesailing.org/schools/army/,army
U. S. Naval Academy,NA-40.png,https://scores.collegesailing.org/schools/navy/,navy
University of Buffalo,UB-40.png,https://scores.collegesailing.org/schools/buffalo/,buffalo
University of Delaware,DEL-40.png,https://scores.collegesailing.org/schools/delaware/,delaware
University of Maryland,MD-40.png,https://scores.collegesailing.org/schools/maryland/,maryland
University of Maryland/Baltimore County,MBC-40.png,https://scores.collegesailing.org/schools/maryland-baltimore/,maryland-baltimore
University of Pennsylvania,UPN-40.png,https://scores.collegesailing.org/schools/pennsylvania/,pennsylvania
University of Pittsburgh,PITT-40.png,https://scores.collegesailing.org/schools/pittsburgh/,pittsburgh
University of Rochester,ROC-40.png,https://scores.collegesailing.org/schools/rochester-maisa/,rochester-maisa
University of Toronto,TOR-40.png,https://scores.collegesailing.org/schools/toronto/,toronto
University of Virginia,UVA-40.png,https://scores.collegesailing.org/schools/virginia/,virginia
Villanova University,VIL-40.png,https://scores.collegesailing.org/schools/villanova/,villanova
Virginia Tech,VT-40.png,https://scores.collegesailing.org/schools/virginia-tech/,virginia-tech
Washington College,WAC-40.png,https://scores.collegesailing.org/schools/washington-college/,washington-college
Webb Institute,WEB-40.png,https://scores.collegesailing.org/schools/webb-institute/,webb-institute
William and Mary,WM-40.png,https://scores.collegesailing.org/schools/william-and-mary/,william-and-mary
Case Western Reserve University,CWR-40.png,https://scores.collegesailing.org/schools/case-western/,case-western
Cleveland State University,CLSU-40.png,https://scores.collegesailing.org/schools/cleveland-state-university/,cleveland-state-university
Denison University,DEN-40.png,https://scores.collegesailing.org/schools/denison/,denison
Grand Valley State University,GVS-40.png,https://scores.collegesailing.org/schools/grand-valley-state/,grand-valley-state
Hillsdale College,HILL-40.png,https://scores.collegesailing.org/schools/hillsdale-college/,hillsdale-college
Hope College,HOP-40.png,https://scores.collegesailing.org/schools/hope/,hope
Indiana University,IU-40.png,https://scores.collegesailing.org/schools/indiana/,indiana
Iowa State University,ISU-40.png,https://scores.collegesailing.org/schools/iowa-state/,iowa-state
John Carroll University,JCU-40.png,https://scores.collegesailing.org/schools/john-carroll/,john-carroll
Lake Forest College,LFC-40.png,https://scores.collegesailing.org/schools/lake-forest/,lake-forest
Marquette University,MRQ-40.png,https://scores.collegesailing.org/schools/marquette/,marquette
Miami University,MUO-40.png,https://scores.collegesailing.org/schools/miami-university/,miami-university
Michigan State University,MSU-40.png,https://scores.collegesailing.org/schools/michigan-state/,michigan-state
Michigan Technological University,MTU-40.png,https://scores.collegesailing.org/schools/michigan-tech/,michigan-tech
Northern Michigan University,NMU-40.png,https://scores.collegesailing.org/schools/northern-michigan/,northern-michigan
Northwestern University,NWU-40.png,https://scores.collegesailing.org/schools/northwestern/,northwestern
Ohio State University,OSU-40.png,https://scores.collegesailing.org/schools/ohio-state/,ohio-state
Ohio University,OU-40.png,https://scores.collegesailing.org/schools/ohio/,ohio
Purdue University,PUR-40.png,https://scores.collegesailing.org/schools/purdue/,purdue
Saginaw Valley State University,SVSU-40.png,https://scores.collegesailing.org/schools/saginaw-valley/,saginaw-valley
Saint Mary's College,stmc-40.png,https://scores.collegesailing.org/schools/st-marys-college/,st-marys-college
University of Chicago,CHI-40.png,https://scores.collegesailing.org/schools/chicago/,chicago
University of Cincinnati,UCIN-40.png,https://scores.collegesailing.org/schools/cincinnati/,cincinnati
University of Illinois,ILL-40.png,https://scores.collegesailing.org/schools/illinois/,illinois
University of Iowa,IOWA-40.png,https://scores.collegesailing.org/schools/iowa/,iowa
University of Michigan,MICH-40.png,https://scores.collegesailing.org/schools/michigan/,michigan
University of Minnesota,UMN-40.png,https://scores.collegesailing.org/schools/minnesota/,minnesota
University of Nebraska Lincoln,UNL-40.png,https://scores.collegesailing.org/schools/nebraska-lincoln/,nebraska-lincoln
University of Notre Dame,ND-40.png,https://scores.collegesailing.org/schools/notre-dame/,notre-dame
