id,name,position,year,Adjusted Estimate,Std. Error,z value,Pr(>|z|)
1,Griffin Beaulieu,Skipper,27,3.971516033930316,0.768337445514748,1.02340467507333,0.306116549886745
2,Dillon Garcia,Skipper,27,3.911289145207398,0.774215341790226,0.937844041390119,0.348324564159255
3,Justin Callahan,Skipper,26,3.852040614348736,0.107003175805037,6.23200862194154,4.60492125383046e-10
4,Lachlain McGranahan,Skipper,24,3.770631621202113,0.103891042843278,5.63509331529799,1.74963570953031e-08
5,Jack Egan,Skipper,25,3.693002862906446,0.104248922628183,4.87110034279189,1.10978457339885e-06
6,Vanessa Lahrkamp,Skipper,26,3.6921128674978263,0.116243999411272,4.36080115884289,1.29587088908437e-05
7,Thomas Sitzmann,Skipper,27,3.621526830506791,0.136831827900694,3.18881167521082,0.0014285891365985
8,Teddy Nicolosi,Skipper,24,3.6181395104535663,0.106949075265389,4.04812859973418,5.1628778608023e-05
9,Liam O'Keefe,Skipper,26,3.611590203608971,0.11392591541177,3.74273317805879,0.0001820294858381
10,Connor Nelson,Skipper,24,3.5390961889106722,0.100713719148186,3.51392334378337,0.0004415402128075
11,Maddie Hawkins,Skipper,24,3.49603436576791,0.100677617304616,3.08746346937074,0.0020187258200135
12,Carmen Cowles,Skipper,25,3.495446808022116,0.0985345688067866,3.14865038354059,0.0016402630327755
13,Stephan Baker,Skipper,26,3.477317570523232,0.118824771355339,2.45842400565652,0.0139548307379103
14,Carlos de Castro,Skipper,26,3.4680376530793353,0.109171948869314,2.59079146110413,0.0095755497661526
15,Mia Nicolosi,Skipper,25,3.464290099076515,0.106682520366408,2.6161192851587,0.0088935481872501
16,Colman Schofield,Skipper,25,3.398157298891394,0.0983193813278499,2.16601646449184,0.0303099288182244
17,Mariner Fagan,Skipper,24,3.373720908588145,0.105735405711727,1.78298846221399,0.0745881815026718
18,Alexander Gonzalez,Skipper,24,3.3585155992925912,0.461901848373087,0.375230581445904,0.707488988299455
19,Emma Cowles,Skipper,25,3.308530009795846,0.101780319413037,1.21176775972495,0.22560129288033
20,Guthrie Braun,Skipper,26,3.303879567893448,0.128525202183337,0.923427201207815,0.355784621780082
21,Reade Decker,Skipper,27,3.280473756439628,0.160660406551365,0.593038809798768,0.553155179570506
22,Aidan Hoogland,Skipper,24,3.273450035268957,0.103524967757395,0.852491307402821,0.393941461574692
23,Mitchell Callahan,Skipper,26,3.2466205001954402,0.11335523707916,0.541877037369918,0.587903216459109
24,Hannah Freeman,Skipper,24,3.242352738431709,0.127566864249002,0.448053956735368,0.65411425640872
25,Owen Hennessey,Skipper,25,3.217782556145142,0.0996359435782253,0.327057232743902,0.7436245978408
26,Jordan Bruce,Skipper,24,3.1820287409414547,0.105744117841225,-0.0299511621055001,0.97610600267109
27,Christian Ebbin,Skipper,28,3.175782696528367,0.232005709370191,-0.0405731550909106,0.967636185662328
28,Kerem Erkmen,Skipper,25,3.1581539847332363,0.0955573525532749,-0.28299146743635,0.7771833777751
29,Bridget Green,Skipper,25,3.1243216756614465,0.102036286940008,-0.596593881654715,0.550778557122664
30,Peter Busch,Skipper,26,3.113513733346789,0.122219706115437,-0.586502529650392,0.557537862088613
31,Kyle Pfrang,Skipper,26,3.0883760146929546,0.111928794337893,-0.865013208052467,0.387031539398509
32,Thomas Hall,Skipper,25,3.0883623069527366,0.101783765216387,-0.951365799821021,0.341418715238029
33,Marcus Huttunen,Skipper,24,3.088166098175105,0.246355275448729,-0.393861271307374,0.693683464985172
34,William Michels,Skipper,25,3.0841490724277163,0.105232946962815,-0.960220450393832,0.336944276485871
35,Colleen O'Brien,Skipper,24,3.0775623174235833,0.0974311117325701,-1.10471471400707,0.269283225642471
36,Daniel Unangst,Skipper,24,3.071721927608443,0.104423902199958,-1.086666655407,0.277184155475049
37,Nicholas Reeser,Skipper,25,3.064297155713792,0.108084179341046,-1.11856096960636,0.263327482267914
38,Ben Mueller,Skipper,26,3.037163758425505,0.104273218995401,-1.41965639075211,0.155707739822216
39,Michael Kirkman,Skipper,25,3.015533819227587,0.108814537456281,-1.55918579350852,0.118952412288599
40,Hayden Earl,Skipper,25,3.010220125955714,0.168077525609035,-1.04104206417173,0.297856026223906
41,Noah Zittrer,Skipper,26,3.003546063704488,0.120200184883477,-1.51122759609917,0.130730473734638
42,Robby Meek,Skipper,27,2.997642989608258,0.133185177857092,-1.40821158604906,0.159068426522431
43,Hamilton Barclay,Skipper,27,2.9927300186293273,0.164730631337635,-1.16836729128301,0.242658642727468
44,Yumi Yoshiyasu,Skipper,24,2.964991240791956,0.889447559046558,-0.247574640151593,0.804463534190992
45,Michaela O'Brien,Skipper,24,2.9633825893537153,0.108626216223526,-2.0419869025583,0.0411528305409315
46,Chapman Petersen,Skipper,26,2.961910838795212,0.221725223575721,-1.0070350037787,0.313917953282056
47,Dylan Ascencios,Skipper,24,2.946798007259257,0.12069725477005,-1.97517245401772,0.048248580774407
48,Mateo Di Blasi,Skipper,25,2.944558324653033,0.13532368904035,-1.77823688675702,0.0753649570658747
49,Pierce Brindley,Skipper,28,2.94210744572376,0.415432971542449,-0.585144827408146,0.558450339132589
50,Ryan Satterberg,Skipper,27,2.9368849200733282,0.130731534434785,-1.89939620273608,0.0575124023945328
51,Lucas Woodworth,Skipper,27,2.9351467722108793,0.18428021551375,-1.35689622051198,0.174814187929953
52,Morgan Pinckney,Skipper,27,2.9328679835142744,0.129778181233764,-1.94430153238039,0.0518590999813361
53,Anthony Minder,Skipper,24,2.92987495839527,0.364986810873528,-0.699534706885126,0.484217930972949
54,Enzo Menditto,Skipper,26,2.905501548811964,0.141394095369359,-1.97811903399516,0.0479152797871061
55,Benjamin Dufour,Skipper,26,2.900978937496485,0.115251110494338,-2.46606702044834,0.0136605771624912
56,Mateo Farina,Skipper,25,2.895094359537893,0.142295540215527,-2.03872545955641,0.041477435324408
57,Diego Escobar,Skipper,25,2.885392282841288,0.131865731707483,-2.27355214606009,0.0229929274626076
58,Peter Barnard,Skipper,27,2.8663186874739903,0.215144674455261,-1.48215247944211,0.138299727618793
59,Chip Kreuzkamp,Skipper,24,2.8640161145926393,0.512857694421495,-0.62625517576815,0.531147581966624
60,Grayson Tella,Skipper,26,2.860538623987122,0.949451607864405,-0.341941888854922,0.732394624868989
61,Jack Redmond,Skipper,26,2.8589971616158523,0.123705618249183,-2.63689509949095,0.008366870096986
62,Trevor Davis,Skipper,24,2.845832312821622,0.103218717692167,-3.28781053400698,0.0010096976609381
63,Sam Bonauto,Skipper,25,2.8421484101072583,0.105541070122031,-3.25036963954141,0.0011525509526842
64,Oliver Stokke,Skipper,26,2.832376451231026,0.111884374799195,-3.15342915003832,0.0016136439308671
65,Blake Behrens,Skipper,27,2.8070779374466652,0.130873997199883,-2.88917562541059,0.0038625328147395
66,Charles Gish,Skipper,28,2.8037810095814333,0.324709161732671,-1.17463544465432,0.240140596428681
67,Piper Holthus,Skipper,25,2.7984971146992503,0.103886831208525,-3.72230802459626,0.0001974099914019
68,Nicholas Davies,Skipper,24,2.786709661098713,0.177599027121009,-2.24374111456361,0.0248490631116553
69,Kelly Holthus,Skipper,27,2.76988393037616,0.166142184901466,-2.49973822137207,0.0124285107239595
70,Peter Foley III,Skipper,26,2.764988641766739,0.382203511128051,-1.09943327613518,0.271579122916758
71,Javier Garcon,Skipper,25,2.76300967943967,0.127148478820633,-3.32041896712365,0.0008988244797345
72,Sophie Fisher,Skipper,26,2.762692661396039,0.146837621241142,-2.87735006321528,0.0040103043942666
73,Thad Lettsome,Skipper,24,2.738607146408074,0.142866316020863,-3.12592055417269,0.0017724942903472
74,Nathan Sih,Skipper,25,2.73477882952794,0.121713366032211,-3.70063769750217,0.0002150583429933
75,Sarah Burn,Skipper,24,2.731350220270598,0.103532632435378,-4.38360031238748,1.1673385920837e-05
76,Charlie Allen,Skipper,28,2.730709871736793,0.663209299886547,-0.685282954412091,0.493165385908428
77,Dorothy Mendelblatt,Skipper,28,2.730296648942747,0.174049385344375,-2.61362170463174,0.0089588169831898
78,Emily Bornarth,Skipper,24,2.7295428916441082,0.099706976885423,-4.56992101000234,4.87908076823032e-06
79,Caroline Sibilly,Skipper,26,2.728160560699945,0.11218527334135,-4.07393346599103,4.62256926156469e-05
80,Max Anker,Skipper,24,2.724228606973058,0.154389045778878,-2.98575129380472,0.0028288260753427
81,Rayne Duff,Skipper,25,2.720335295961494,0.11265771421468,-4.12630956908365,3.68630979288283e-05
82,Berta Puig,Skipper,24,2.7119549915094843,0.182382479510968,-2.59477176709113,0.0094653749709198
83,Megan Grimes,Skipper,24,2.705557633908759,0.133619953242028,-3.58957067870757,0.0003312230183431
84,Taft Buckley,Skipper,25,2.694118168879624,0.219570294474631,-2.23653993110501,0.0253164246869556
85,Brielle Willoughby,Skipper,24,2.688816763792519,0.112458506662285,-4.41388696236861,1.01530986368506e-05
86,Lawson Levine,Skipper,24,2.682663893539304,0.371468395512214,-1.35282573884753,0.176111307933064
87,Chase Decker,Skipper,28,2.679511692324847,0.198165192644365,-2.5518316364433,0.010715828728437
88,Mason Stang,Skipper,25,2.679025896807155,0.110267333277866,-4.59038944991943,4.42419736222166e-06
89,Thibault Antonietti,Skipper,24,2.6772504347965063,0.114348500726117,-4.44208242464607,8.90924167998888e-06
90,Owen Bannasch,Skipper,26,2.674141554198945,0.12260213108691,-4.16839692285121,3.0674942402664e-05
91,Jackson McAliley,Skipper,27,2.668429140936552,0.137465797821404,-3.75923878819264,0.0001704311144494
92,Oliver Hurwitz,Skipper,25,2.66658065672791,0.112173221424401,-4.62334269126997,3.77605125273542e-06
93,Ellie Harned,Skipper,26,2.66515046590009,0.185850896455289,-2.79818631050639,0.0051390460167543
94,Daniel Hughes,Skipper,25,2.659622510501537,0.223574541806693,-2.35077475909356,0.0187343705342002
95,Gray Hemans,Skipper,25,2.658316293493211,0.111148042252487,-4.74034086418306,2.13358971806002e-06
96,Cordelia Burn,Skipper,25,2.6490542255727263,0.102370184056992,-5.23728348759644,1.62957292389981e-07
97,Mathieu Dale,Skipper,25,2.648633342791774,0.114438331414726,-4.68866113942481,2.74998324749978e-06
98,Axel Stordahl,Skipper,24,2.63650956725035,0.179754025553624,-3.0524286241511,0.0022699770866738
99,Marbella Marlo,Skipper,24,2.633252031802263,0.139362643063746,-3.96048651360531,7.47972174703709e-05
100,Zander King,Skipper,25,2.6330629083994452,0.175962728429132,-3.13778376072148,0.0017023041160484
101,Anna Olsen,Skipper,24,2.628126140867229,1.37817523230843,-0.404208221298756,0.686059608653743
102,Peter Joslin,Skipper,26,2.6241063111192684,0.124586596049598,-4.50361119758004,6.68083852237302e-06
103,Alice Schmid,Skipper,27,2.61768287064721,1.42209088712285,-0.399069450938958,0.689842031119996
