id,name,position,year,Adjusted Estimate,Std. Error,z value,Pr(>|z|),Year,School Name,Image Token,School Token,Rating
1,Justin Callahan,Skipper,26,3.852040614348736,0.107003175805037,6.23200862194154,4.60492125383046e-10,2026,Harvard University,HAR-40.png,harvard,7383.071701282362
2,Jack Egan,Skipper,25,3.693002862906446,0.104248922628183,4.87110034279189,1.10978457339885e-06,2025,Yale University,YAL-40.png,yale,7073.258957928344
3,Vanessa Lahrkamp,Skipper,26,3.6921128674978254,0.116243999411272,4.36080115884289,1.29587088908437e-05,2026,Stanford University,STAN-40.png,stanford,7035.493736761835
4,Thomas Sitzmann,Skipper,27,3.621526830506791,0.136831827900694,3.18881167521082,0.0014285891365985,2027,Stanford University,STAN-40.png,stanford,6832.5581773115
5,Carmen Cowles,Skipper,25,3.495446808022116,0.0985345688067866,3.14865038354059,0.0016402630327755,2025,Yale University,YAL-40.png,yale,6695.2899096238725
6,Carlos de Castro,Skipper,26,3.468037653079336,0.109171948869314,2.59079146110413,0.0095755497661526,2026,Roger Williams University,RW-40.png,roger-williams,6608.55945955073
7,Mia Nicolosi,Skipper,25,3.464290099076515,0.106682520366408,2.6161192851587,0.0088935481872501,2025,Yale University,YAL-40.png,yale,6608.532637053806
8,Stephan Baker,Skipper,26,3.477317570523232,0.118824771355339,2.45842400565652,0.0139548307379103,2026,Yale University,YAL-40.png,yale,6598.160826980447
9,Colman Schofield,Skipper,25,3.398157298891394,0.0983193813278499,2.16601646449184,0.0303099288182244,2025,U. S. Coast Guard Academy,CGA-40.png,coast-guard,6501.356453799239
10,Emma Cowles,Skipper,25,3.308530009795846,0.101780319413037,1.21176775972495,0.22560129288033,2025,Yale University,YAL-40.png,yale,6311.719061352581
11,Guthrie Braun,Skipper,26,3.303879567893448,0.128525202183337,0.923427201207815,0.355784621780082,2026,Brown University,BR-40.png,brown,6222.183529236885
12,Mitchell Callahan,Skipper,26,3.24662050019544,0.11335523707916,0.541877037369918,0.587903216459109,2026,Harvard University,HAR-40.png,harvard,6153.1752891534
13,Owen Hennessey,Skipper,25,3.217782556145142,0.0996359435782253,0.327057232743902,0.7436245978408,2025,St. Mary's College of Maryland,SMC-40.png,st-mary,6136.657281555608
14,Reade Decker,Skipper,27,3.280473756439628,0.160660406551365,0.593038809798768,0.553155179570506,2027,Stanford University,STAN-40.png,stanford,6078.966293225161
15,Kerem Erkmen,Skipper,25,3.1581539847332363,0.0955573525532749,-0.28299146743635,0.7771833777751,2025,University of Rhode Island,URI-40.png,rhode-island,6029.635911806648
16,Bridget Green,Skipper,25,3.1243216756614465,0.102036286940008,-0.596593881654715,0.550778557122664,2025,Cornell University,COR-40.png,cornell,5942.534490502869
17,Thomas Hall,Skipper,25,3.0883623069527366,0.101783765216387,-0.951365799821021,0.341418715238029,2025,Bowdoin College,BOW-40.png,bowdoin,5871.373318256312
18,Peter Busch,Skipper,26,3.113513733346789,0.122219706115437,-0.586502529650392,0.557537862088613,2026,Boston College,BC-40.png,boston-college,5860.368348347267
19,William Michels,Skipper,25,3.0841490724277163,0.105232946962815,-0.960220450393832,0.336944276485871,2025,Dartmouth College,DART-40.png,dartmouth,5852.5993039669875
20,Kyle Pfrang,Skipper,26,3.088376014692954,0.111928794337893,-0.865013208052467,0.387031539398509,2026,Roger Williams University,RW-40.png,roger-williams,5840.9656463722295
21,Nicholas Reeser,Skipper,25,3.064297155713792,0.108084179341046,-1.11856096960636,0.263327482267914,2025,U. S. Coast Guard Academy,CGA-40.png,coast-guard,5804.341773404446
22,Ben Mueller,Skipper,26,3.037163758425505,0.104273218995401,-1.41965639075211,0.155707739822216,2026,Tufts University,TUF-40.png,tufts,5761.507859864807
23,Michael Kirkman,Skipper,25,3.015533819227587,0.108814537456281,-1.55918579350852,0.118952412288599,2025,Boston College,BC-40.png,boston-college,5704.6240260863315
24,Christian Ebbin,Skipper,28,3.175782696528367,0.232005709370191,-0.0405731550909106,0.967636185662328,2028,Tulane University,TUL-40.png,tulane,5655.548264946161
25,Noah Zittrer,Skipper,26,3.003546063704488,0.120200184883477,-1.51122759609917,0.130730473734638,2026,College of Charleston,COC-40.png,charleston,5646.491572758545
26,Noah Zittrer,Skipper,26,3.003546063704488,0.120200184883477,-1.51122759609917,0.130730473734638,2026,College of Charleston,COC-40.png,charleston,5646.491572758545
27,Griffin Beaulieu,Skipper,27,3.971516033930316,0.768337445514748,1.02340467507333,0.306116549886745,2027,College of Charleston,COC-40.png,charleston,5638.019731316388
28,Robby Meek,Skipper,27,2.997642989608258,0.133185177857092,-1.40821158604906,0.159068426522431,2027,Harvard University,HAR-40.png,harvard,5595.730445645239
29,Dillon Garcia,Skipper,27,3.911289145207398,0.774215341790226,0.937844041390119,0.348324564159255,2027,College of Charleston,COC-40.png,charleston,5499.932265044118
30,Hamilton Barclay,Skipper,27,2.992730018629328,0.164730631337635,-1.16836729128301,0.242658642727468,2027,Tulane University,TUL-40.png,tulane,5491.268143245751
